corso matricola sesso provincia anno tipo diploma votomat base votolau lode
E67 534270 M PD 2000 N "*MATURITA'SCIENTIFICA"  94 100 110 L
E66 534273 F VE 2000 N "*MATURITA'TECNICAPERILTURISMO"  95 100 110 L
E71 534281 M TV 2000 N "*PERITOINDUSTRIALE"  70 100 105 NL
E61 534290 M TV 2000 N "*MATURITA'SCIENTIFICA"  83 100  95 NL
E71 534297 M VE 2000 N "*PERITOINDUSTRIALE"  81 100 107 NL
E71 534299 M TV 2000 N "*PERITOINDUSTRIALE"  82 100 110 NL
E71 534300 F VE 2000 N "*PERITOINDUSTRIALE"  82 100 110 L
E66 534306 M VR 2000 N "*MATURITA'SCIENTIFICA"  71 100 110 NL
E61 534316 M TV 2000 N "*MATURITA'TECNICACOMMERCIALE"  80 100  95 NL
E61 534323 M TV 2000 N "MATURITA'TECNICASPERIMENTALE" 100 100 110 NL
E71 534333 M VE 2000 N "*MATURITA'SCIENTIFICA"  86 100  99 NL
E72 534339 F VE 2000 N "TITOLODISTUDIOSTRANIERO"  90 100 103 NL
E66 534361 F VE 2000 N "*LICENZALINGUISTICA"  76 100 101 NL
E72 534363 F TV 2000 N "MATURITA'LINGUISTICA"  85 100 110 NL
E66 534365 F VE 2000 N "*MATURITA'SCIENTIFICA"  93 100 110 L
E61 534367 M TV 2000 N "MATURITA'MAGISTRALESPERIMENTALE(*)"  95 100 106 NL
E72 534371 F VI 2000 N "MATURITA'MAGISTRALESPERIMENTALE(*)"  98 100 110 L
E66 534373 F VE 2000 N "*MATURITA'PROFESSIONALE" 100 100 100 NL
E61 534375 M TV 2000 N "*MATURITA'SCIENTIFICA"  92 100 110 L
E61 534377 M VE 2000 N "*MATURITA'SCIENTIFICA"  70 100 103 NL
E70 534383 M PD 2000 N "*MATURITA'SCIENTIFICA"  71 100 104 NL
E72 534385 F VI 2000 N "*MATURITA'SCIENTIFICA"  80 100 108 NL
E61 534393 F VE 2000 N "*MATURITA'TECNICACOMMERCIALE" 100 100 104 NL
E65 534395 F VE 2000 N "*MATURITA'SCIENTIFICA"  83 100  97 NL
E61 534397 F VE 2000 N "*MATURITA'TECNICACOMMERCIALE"  90 100 110 L
E61 534400 F VE 2000 N "*MATURITA'CLASSICA"  95 100 101 NL
E71 534411 M TV 2000 N "*PERITOINDUSTRIALE"  87 100 107 NL
E61 534412 M TV 2000 N "*MATURITA'SCIENTIFICA"  78 100  98 NL
E61 534415 F VI 2000 N "*MATURITA'SCIENTIFICA"  87 100 110 L
E61 534421 M PD 2000 T "*MATURITA'CLASSICA"  80 100  99 NL
